, текст_обращения,label
0,суть претензия мед работник находиться филиал индивидуальный средство защита маска перчатка пациент отмечать претензия направлять улучшение качество обслуживание филиал ждать звонок администрация,0
1,доводить ваш сведение горячий линия обращаться обращаться пз 8.30 принимать анализ антитело коронавирус т 1 регистратор большой очередь клиент указывать несоблюдение социальный дистанция регистратор кашель,1
2,доводить ваш сведение горячий линия обращаться пз записываться онлайн клиент пз медсестра просто отказывать прием объяснять  « анализ нужный тратить деньги анализ выполнять » пациент запись онлайн итог сдавать смочь признак простудный заболевание контакт заболеть ковид пациент анализ необходимый госпитализация пациент повторяться неоднократно ранее клиент сдавать сдавать анализ получаться выяснение отношение мед работник филиал,1
3,доводить ваш сведение горячий линия обращаться пз очень холодно медсестра постоянно одеваться раздеваться замедлять работа пациент просить  « устранять проблема »,1
4,доводить ваш сведение горячий линия обращаться пациентка недовольный обращение пз сдача анализ предварительный запись пациентка смочь проходить свой время из-за очередь пациентка являться кормить мама важно проходить время сотрудник встреча пациентка пойти пациентка приходиться ожидать свой очередь улица пациентка недовольный большинство пациент маска пациентка просить разбираться принимать мера ждать срочный звонок администрация,1
5,суть претензия   –    пациент обращаться пз 8 30 ожидать очередь 10 30 сдавать биохимический исследование мед сестра итог отказывать прием сказать 10 30 запись ковид принимать успевать пациент оставлять жалоба почему почему длительный ожидание свой очередь смочь сдавать анализ,1
6,доводить ваш сведение горячий линия обращаться пациент дважды обращаться пз тихорецк утренний час 10 30 сдача биоматериал антитело коронавирус пациент недовольный сотрудник дважды отказывать пациент прием биоматериал объяснять отказ анализ сдаваться предварительный запись сотрудник горячий линия проинформировать пациент указанный исследование приниматься порядок живой очередь 10 30 пациент складываться ситуация подниматься давление пациент просить разбираться принимать мера ждать звонок администрация,1
7,доводить ваш сведение горячий линия обращаться пациент пациент обращаться пз краснодар примерно 13 14 час грудной ребенок сдача анализ грубый форма сказать медсестра сдавать анализ необходимо утро т момент обращение сдавать анализ ковид пациент возмущать форма отказ,3
8,доводить ваш сведение горячий линия обращаться фио пациент сдавать биоматериал исследование антимюллер гормон пациент обращаться сторонний лаборатория показатель результат отличаться пациент считать анализ наш лаборатория выполнять неверно,0
9,претензия хотеть клиент регистратор пз корректно вносить адрес электронный почта число пациент обращать внимание момент обращение регистратор попросить ожидать улица хотя помещение находиться 1 человек уточнять основание,1
10,пациент сдавать анализ пз пациент недовольный задержка выдача результат исследование  « макропролактин » ( срок выполнение  –  3 день причина пациент смочь попадать прием свой врач,1
